name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
AFz 0A X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AFz 0A Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AFz 0A Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF1 0B X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF1 0B Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF1 0B Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF3 0C X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF3 0C Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF3 0C Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF2 0D X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF2 0D Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF2 0D Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF5 0E X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF5 0E Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF5 0E Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
F2 0F X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
F2 0F Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
F2 0F Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Fz 0G X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Fz 0G Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Fz 0G Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
F1 0H X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
F1 0H Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
F1 0H Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FCz 0I X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FCz 0I Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FCz 0I Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF4 0J X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF4 0J Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF4 0J Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Fpz 1A X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Fpz 1A Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Fpz 1A Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Fp1 1B X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Fp1 1B Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Fp1 1B Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FC2 1C X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FC2 1C Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FC2 1C Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
F3 1D X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
F3 1D Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
F3 1D Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FC3 1E X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FC3 1E Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FC3 1E Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FC1 1F X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FC1 1F Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
FC1 1F Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF6 1G X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF6 1G Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF6 1G Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Cz 1H X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Cz 1H Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Cz 1H Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF7 1I X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF7 1I Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
AF7 1I Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C2 1J X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C2 1J Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C2 1J Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C4 2A X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C4 2A Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C4 2A Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C1 2B X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C1 2B Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C1 2B Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C5 2C X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C5 2C Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C5 2C Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C3 2D X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C3 2D Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
C3 2D Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O8 2E X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O8 2E Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O8 2E Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP4 2F X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP4 2F Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP4 2F Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O7 2G X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O7 2G Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O7 2G Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CPz 2H X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CPz 2H Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CPz 2H Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP2 2I X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP2 2I Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP2 2I Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP5 2J X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP5 2J Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP5 2J Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP1 3A X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP1 3A Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP1 3A Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P4 3B X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P4 3B Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P4 3B Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O6 3C X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O6 3C Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O6 3C Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP3 3D X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP3 3D Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
CP3 3D Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P3 3E X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P3 3E Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P3 3E Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O5 3F X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O5 3F Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O5 3F Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P2 3G X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P2 3G Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P2 3G Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P1 3H X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P1 3H Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
P1 3H Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
PO3 3I X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
PO3 3I Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
PO3 3I Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Pz 3J X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Pz 3J Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Pz 3J Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O3 4A X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O3 4A Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O3 4A Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O4 4B X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O4 4B Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O4 4B Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
PO2 4C X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
PO2 4C Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
PO2 4C Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
PO1 4D X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
PO1 4D Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
PO1 4D Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O2 4E X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O2 4E Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O2 4E Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O1 4F X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O1 4F Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
O1 4F Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
POz 4G X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
POz 4G Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
POz 4G Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Oz 4H X	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Oz 4H Y	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
Oz 4H Z	MEGMAG	T	0.0	100.0	Magnetometer	200.0	good	n/a
eye_nmf1	EOG	V	0.0	100.0	ElectroOculoGram	200.0	good	n/a
eye_nmf2	EOG	V	0.0	100.0	ElectroOculoGram	200.0	good	n/a
eye_nmf3	EOG	V	0.0	100.0	ElectroOculoGram	200.0	good	n/a
xpos_right	MISC	n/a	0.0	100.0	Miscellaneous	200.0	good	n/a
ypos_right	MISC	n/a	0.0	100.0	Miscellaneous	200.0	good	n/a
pupil_right	MISC	n/a	0.0	100.0	Miscellaneous	200.0	good	n/a
x_head	MISC	n/a	0.0	100.0	Miscellaneous	200.0	good	n/a
y_head	MISC	n/a	0.0	100.0	Miscellaneous	200.0	good	n/a
distance	MISC	n/a	0.0	100.0	Miscellaneous	200.0	good	n/a
