onset	duration	trial_type	value	sample
3.0	0.0	ITI	1	600
3.6	0.0	trial/cond_b	6	720
4.335	0.0	response/right	4	867
4.8	0.0	feedback	2	960
5.2	0.0	ITI	1	1040
5.8	0.0	trial/cond_a	5	1160
6.2	0.0	response/left	3	1240
7.0	0.0	feedback	2	1400
7.4	0.0	ITI	1	1480
8.0	0.0	trial/cond_b	6	1600
8.93	0.0	response/left	3	1786
9.2	0.0	feedback	2	1840
9.6	0.0	ITI	1	1920
10.2	0.0	trial/cond_b	6	2040
10.67	0.0	response/right	4	2134
11.4	0.0	feedback	2	2280
11.8	0.0	ITI	1	2360
12.4	0.0	trial/cond_a	5	2480
12.985	0.0	response/left	3	2597
13.6	0.0	feedback	2	2720
14.0	0.0	ITI	1	2800
14.6	0.0	trial/cond_a	5	2920
15.715	0.0	response/right	4	3143
15.8	0.0	feedback	2	3160
16.2	0.0	ITI	1	3240
16.8	0.0	trial/cond_a	5	3360
17.73	0.0	response/right	4	3546
18.0	0.0	feedback	2	3600
18.4	0.0	ITI	1	3680
19.0	0.0	trial/cond_b	6	3800
19.855	0.0	response/right	4	3971
20.2	0.0	feedback	2	4040
20.6	0.0	ITI	1	4120
21.2	0.0	trial/cond_b	6	4240
22.005	0.0	response/right	4	4401
22.4	0.0	feedback	2	4480
22.8	0.0	ITI	1	4560
23.4	0.0	trial/cond_b	6	4680
23.88	0.0	response/right	4	4776
24.6	0.0	feedback	2	4920
25.0	0.0	ITI	1	5000
25.6	0.0	trial/cond_a	5	5120
26.66	0.0	response/left	3	5332
26.8	0.0	feedback	2	5360
27.2	0.0	ITI	1	5440
27.8	0.0	trial/cond_a	5	5560
28.275	0.0	response/left	3	5655
29.0	0.0	feedback	2	5800
29.4	0.0	ITI	1	5880
30.0	0.0	trial/cond_a	5	6000
30.505	0.0	response/left	3	6101
31.2	0.0	feedback	2	6240
31.6	0.0	ITI	1	6320
32.2	0.0	trial/cond_a	5	6440
32.83	0.0	response/left	3	6566
33.4	0.0	feedback	2	6680
33.8	0.0	ITI	1	6760
34.4	0.0	trial/cond_b	6	6880
35.205	0.0	response/right	4	7041
35.6	0.0	feedback	2	7120
36.0	0.0	ITI	1	7200
36.6	0.0	trial/cond_b	6	7320
37.225	0.0	response/right	4	7445
37.8	0.0	feedback	2	7560
38.2	0.0	ITI	1	7640
38.8	0.0	trial/cond_a	5	7760
39.885	0.0	response/right	4	7977
40.0	0.0	feedback	2	8000
40.4	0.0	ITI	1	8080
41.0	0.0	trial/cond_a	5	8200
41.44	0.0	response/left	3	8288
42.2	0.0	feedback	2	8440
42.6	0.0	ITI	1	8520
43.2	0.0	trial/cond_a	5	8640
43.745	0.0	response/left	3	8749
44.4	0.0	feedback	2	8880
53.8	0.0	ITI	1	10760
54.4	0.0	trial/cond_b	6	10880
55.09	0.0	response/right	4	11018
55.6	0.0	feedback	2	11120
56.0	0.0	ITI	1	11200
56.6	0.0	trial/cond_a	5	11320
57.3	0.0	response/left	3	11460
57.8	0.0	feedback	2	11560
58.2	0.0	ITI	1	11640
58.8	0.0	trial/cond_b	6	11760
59.365	0.0	response/right	4	11873
60.0	0.0	feedback	2	12000
60.4	0.0	ITI	1	12080
61.0	0.0	trial/cond_b	6	12200
61.39	0.0	response/right	4	12278
62.2	0.0	feedback	2	12440
62.6	0.0	ITI	1	12520
63.2	0.0	trial/cond_a	5	12640
64.245	0.0	response/left	3	12849
64.4	0.0	feedback	2	12880
64.8	0.0	ITI	1	12960
65.4	0.0	trial/cond_a	5	13080
66.105	0.0	response/left	3	13221
66.6	0.0	feedback	2	13320
67.0	0.0	ITI	1	13400
67.6	0.0	trial/cond_a	5	13520
68.32	0.0	response/right	4	13664
68.8	0.0	feedback	2	13760
69.2	0.0	ITI	1	13840
69.8	0.0	trial/cond_b	6	13960
70.56	0.0	response/right	4	14112
71.0	0.0	feedback	2	14200
71.4	0.0	ITI	1	14280
72.0	0.0	trial/cond_a	5	14400
72.465	0.0	response/left	3	14493
73.2	0.0	feedback	2	14640
73.6	0.0	ITI	1	14720
74.2	0.0	trial/cond_b	6	14840
74.665	0.0	response/right	4	14933
75.4	0.0	feedback	2	15080
75.8	0.0	ITI	1	15160
76.4	0.0	trial/cond_b	6	15280
77.195	0.0	response/right	4	15439
77.6	0.0	feedback	2	15520
78.0	0.0	ITI	1	15600
78.6	0.0	trial/cond_b	6	15720
79.15	0.0	response/right	4	15830
79.8	0.0	feedback	2	15960
80.2	0.0	ITI	1	16040
80.8	0.0	trial/cond_a	5	16160
81.465	0.0	response/left	3	16293
82.0	0.0	feedback	2	16400
82.4	0.0	ITI	1	16480
83.0	0.0	trial/cond_b	6	16600
83.815	0.0	response/right	4	16763
84.2	0.0	feedback	2	16840
84.6	0.0	ITI	1	16920
85.2	0.0	trial/cond_a	5	17040
85.675	0.0	response/left	3	17135
86.4	0.0	feedback	2	17280
86.8	0.0	ITI	1	17360
87.4	0.0	trial/cond_a	5	17480
88.13	0.0	response/left	3	17626
88.6	0.0	feedback	2	17720
89.0	0.0	ITI	1	17800
89.6	0.0	trial/cond_a	5	17920
90.51	0.0	response/left	3	18102
90.8	0.0	feedback	2	18160
91.2	0.0	ITI	1	18240
91.8	0.0	trial/cond_b	6	18360
92.555	0.0	response/right	4	18511
93.0	0.0	feedback	2	18600
93.4	0.0	ITI	1	18680
94.0	0.0	trial/cond_a	5	18800
95.11	0.0	response/left	3	19022
95.2	0.0	feedback	2	19040
