trial,block,run,condition,stim_onset,response_onset,response,rt,accuracy,responded
0,1,1,B,3.6,4.3335,right,0.7335,1,1
1,1,1,A,5.8,6.201,left,0.401,1,1
2,1,1,B,8.0,8.9276,left,0.9276,0,1
3,1,1,B,10.2,10.6691,right,0.4691,1,1
4,1,1,A,12.4,12.9854,left,0.5854,1,1
5,1,1,A,14.6,15.7157,right,1.1157,0,1
6,1,1,A,16.8,17.7297,right,0.9297,0,1
7,1,1,B,19.0,19.855,right,0.855,1,1
8,1,1,B,21.2,22.0033,right,0.8033,1,1
9,1,1,B,23.4,23.8791,right,0.4791,1,1
10,1,1,A,25.6,26.6606,left,1.0606,1,1
11,1,1,A,27.8,28.2762,left,0.4762,1,1
12,1,1,A,30.0,30.5062,left,0.5062,1,1
13,1,1,A,32.2,32.8294,left,0.6294,1,1
14,1,1,B,34.4,35.2064,right,0.8064,1,1
15,1,1,B,36.6,37.2239,right,0.6239,1,1
16,1,1,A,38.8,39.8833,right,1.0833,0,1
17,1,1,A,41.0,41.4394,left,0.4394,1,1
18,1,1,A,43.2,43.7467,left,0.5467,1,1
19,2,1,B,54.4,55.0924,right,0.6924,1,1
20,2,1,A,56.6,57.3001,left,0.7001,1,1
21,2,1,B,58.8,59.366,right,0.566,1,1
22,2,1,B,61.0,61.3891,right,0.3891,1,1
23,2,1,A,63.2,64.2436,left,1.0436,1,1
24,2,1,A,65.4,66.1063,left,0.7063,1,1
25,2,1,A,67.6,68.3204,right,0.7204,0,1
26,2,1,B,69.8,70.5576,right,0.7576,1,1
27,2,1,A,72.0,72.4656,left,0.4656,1,1
28,2,1,B,74.2,74.6631,right,0.4631,1,1
29,2,1,B,76.4,77.1952,right,0.7952,1,1
30,2,1,B,78.6,79.1504,right,0.5504,1,1
31,2,1,A,80.8,81.4656,left,0.6656,1,1
32,2,1,B,83.0,83.8167,right,0.8167,1,1
33,2,1,A,85.2,85.6763,left,0.4763,1,1
34,2,1,A,87.4,88.1308,left,0.7308,1,1
35,2,1,A,89.6,90.5079,left,0.9079,1,1
36,2,1,B,91.8,92.5535,right,0.7535,1,1
37,2,1,A,94.0,95.1098,left,1.1098,1,1
